Sample_ID,Moisture (%),Time (day),Temperature (°C),pH,Risk_Level,Rule_Source,Data_Type
P0637,28.5,12,26.5,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0638,28.5,12,26.5,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0639,29.0,12,26.5,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0640,32.5,12,26.5,5.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0641,33.0,12,26.5,5.9,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0642,34.5,12,26.5,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0643,25.5,12,27.0,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0644,26.0,12,27.0,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0645,27.0,12,27.0,5.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0646,31.0,12,27.0,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0647,31.0,12,27.0,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0648,32.5,12,27.0,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0649,26.0,12,27.5,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0650,26.5,12,27.5,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0651,28.5,12,27.5,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0652,31.5,12,27.5,5.2,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0653,34.0,12,27.5,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0654,25.5,12,28.0,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0655,29.5,12,28.0,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0656,31.5,12,28.0,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0657,34.0,12,28.0,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0658,25.5,12,28.5,5.9,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0659,26.5,12,28.5,5.1,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0660,28.5,12,28.5,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0661,29.0,12,28.5,5.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0662,30.5,12,28.5,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0663,32.0,12,28.5,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0664,33.0,12,28.5,5.9,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0665,33.5,12,28.5,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0666,34.5,12,28.5,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0667,25.5,12,29.0,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0668,27.0,12,29.0,5.2,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0669,28.0,12,29.0,5.1,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0670,28.5,12,29.0,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0671,31.0,12,29.0,5.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0672,31.0,12,29.0,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0673,31.5,12,29.0,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0674,33.0,12,29.0,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0675,33.5,12,29.0,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0676,26.0,12,29.5,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0677,26.5,12,29.5,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0678,28.0,12,29.5,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0679,29.0,12,29.5,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0680,30.0,12,29.5,5.9,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0681,32.0,12,29.5,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0682,32.0,12,29.5,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0683,32.5,12,29.5,5.1,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0684,33.0,12,29.5,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0685,34.5,12,29.5,5.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0686,34.5,12,29.5,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0687,25.5,12,30.0,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0688,28.0,12,30.0,5.1,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0689,28.5,12,30.0,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0690,28.5,12,30.0,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0691,32.0,12,30.0,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0692,32.5,12,30.0,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0693,34.0,12,30.0,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0694,26.5,13,25.0,5.9,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0695,27.5,13,25.0,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0696,28.0,13,25.0,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0697,29.0,13,25.0,5.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0698,32.0,13,25.0,5.2,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0699,33.0,13,25.0,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0700,34.5,13,25.0,5.2,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0701,34.5,13,25.0,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0702,27.5,13,25.5,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0703,28.0,13,25.5,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0704,28.0,13,25.5,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0705,28.5,13,25.5,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0706,29.0,13,25.5,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0707,30.5,13,25.5,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0708,31.5,13,25.5,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0709,32.5,13,25.5,5.2,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0710,34.0,13,25.5,5.1,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0711,34.5,13,25.5,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0712,25.5,13,26.0,5.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0713,26.0,13,26.0,5.2,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0714,26.5,13,26.0,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0715,28.5,13,26.0,5.2,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0716,28.5,13,26.0,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0717,29.0,13,26.0,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0718,29.5,13,26.0,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0719,30.0,13,26.0,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0720,30.5,13,26.0,5.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0721,33.0,13,26.0,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0722,35.0,13,26.0,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0723,25.5,13,26.5,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0724,25.5,13,26.5,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0725,26.0,13,26.5,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0726,26.5,13,26.5,5.9,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0727,28.0,13,26.5,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0728,28.0,13,26.5,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0729,28.5,13,26.5,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0730,29.5,13,26.5,5.1,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0731,32.0,13,26.5,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0732,34.0,13,26.5,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0733,34.5,13,26.5,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0734,35.0,13,26.5,5.2,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0735,26.0,13,27.0,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0736,28.0,13,27.0,5.9,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0737,29.0,13,27.0,5.1,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0738,30.5,13,27.0,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0739,31.0,13,27.0,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0740,31.5,13,27.0,5.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0741,35.0,13,27.0,5.9,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0742,25.5,13,27.5,5.2,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0743,27.0,13,27.5,5.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0744,27.0,13,27.5,5.2,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0745,28.5,13,27.5,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0746,31.5,13,27.5,5.1,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0747,32.0,13,27.5,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0748,32.0,13,27.5,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0749,33.0,13,27.5,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0750,33.5,13,27.5,5.2,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0751,33.5,13,27.5,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0752,34.0,13,27.5,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0753,35.0,13,27.5,5.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0754,26.5,13,28.0,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0755,27.5,13,28.0,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0756,28.0,13,28.0,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0757,28.5,13,28.0,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0758,32.5,13,28.0,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0759,35.0,13,28.0,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0760,26.0,13,28.5,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0761,26.5,13,28.5,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0762,27.5,13,28.5,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0763,28.0,13,28.5,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0764,28.5,13,28.5,5.1,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0765,29.0,13,28.5,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0766,31.0,13,28.5,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0767,32.5,13,28.5,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0768,33.5,13,28.5,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0769,34.0,13,28.5,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0770,35.0,13,28.5,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0771,25.5,13,29.0,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0772,26.5,13,29.0,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0773,26.5,13,29.0,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0774,27.0,13,29.0,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0775,27.0,13,29.0,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0776,29.5,13,29.0,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0777,30.0,13,29.0,5.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0778,31.0,13,29.0,5.1,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0779,32.5,13,29.0,5.2,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0780,33.0,13,29.0,5.2,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0781,33.5,13,29.0,5.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0782,25.5,13,29.5,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0783,26.5,13,29.5,5.2,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0784,28.0,13,29.5,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0785,28.0,13,29.5,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0786,29.5,13,29.5,5.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0787,30.5,13,29.5,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0788,32.5,13,29.5,5.9,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0789,35.0,13,29.5,5.1,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0790,26.0,13,30.0,5.1,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0791,27.0,13,30.0,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0792,27.5,13,30.0,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0793,28.0,13,30.0,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0794,30.0,13,30.0,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0795,31.0,13,30.0,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0796,31.0,13,30.0,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0797,32.0,13,30.0,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0798,32.0,13,30.0,5.9,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0799,34.5,13,30.0,5.2,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0800,35.0,13,30.0,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0801,25.5,14,25.0,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0802,26.5,14,25.0,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0803,28.0,14,25.0,5.2,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0804,28.5,14,25.0,5.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0805,28.5,14,25.0,5.9,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0806,28.5,14,25.0,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0807,29.5,14,25.0,5.2,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0808,30.0,14,25.0,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0809,30.0,14,25.0,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0810,30.5,14,25.0,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0811,31.0,14,25.0,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0812,31.0,14,25.0,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0813,31.5,14,25.0,5.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0814,31.5,14,25.0,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0815,33.0,14,25.0,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0816,33.0,14,25.0,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0817,33.5,14,25.0,5.9,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0818,34.0,14,25.0,5.2,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0819,30.5,14,25.5,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0820,31.0,14,25.5,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0821,31.5,14,25.5,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0822,31.5,14,25.5,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0823,33.0,14,25.5,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0824,33.5,14,25.5,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0825,26.0,14,26.0,5.8,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0826,30.5,14,26.0,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0827,30.5,14,26.0,5.6,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0828,31.5,14,26.0,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0829,33.0,14,26.0,5.2,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0830,33.5,14,26.0,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0831,33.5,14,26.0,5.9,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0832,35.0,14,26.0,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0833,27.5,14,26.5,6.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0834,28.0,14,26.5,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0835,28.5,14,26.5,5.5,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0836,29.5,14,26.5,5.7,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0837,30.0,14,26.5,5.3,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0838,33.0,14,26.5,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0839,34.5,14,26.5,5.9,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0840,25.5,14,27.0,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0841,26.0,14,27.0,5.4,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0842,27.5,14,27.0,5.2,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0843,28.5,14,27.0,5.1,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
P0844,29.0,14,27.0,5.0,Very High,"Moisture >25%, 6–15 days, 25–30°C, pH 5.0–6.0",Prototype/Literature-based
